giocatore,punti_totali,tiri_liberi,due_punti,tre_punti,squadra,avversario,partita,id_gara
De Marchi M.,4,0,2,0,Basket San Rocco 2013 Seregno,Osal Novate,T,5556
La Mantia L.,0,0,0,0,Basket San Rocco 2013 Seregno,Osal Novate,T,5556
Leonelli F.,0,0,0,0,Basket San Rocco 2013 Seregno,Osal Novate,T,5556
Bolis F.,0,0,0,0,Basket San Rocco 2013 Seregno,Osal Novate,T,5556
Currà A.,0,0,0,0,Basket San Rocco 2013 Seregno,Osal Novate,T,5556
Giglio A.,13,5,4,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Anzalone F.,11,5,3,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Pasquali A.,9,1,4,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Gallo Perozzi N.,8,4,2,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Perricone A.,7,0,2,1,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Digrandi S.,6,0,3,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Cruickshank E.H.,4,2,1,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Rossi A.,3,1,1,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Pupella P.,2,0,1,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Filosa A.,0,0,0,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Digrandi S.,0,0,0,0,Ado San Benedetto Milano,Cbba Olimpia Cologno,C,5557
Rusconi L.,18,4,4,2,Cgb Brugherio,Azzurri Niguardese,C,5558
Brioschi N.,18,5,5,1,Cgb Brugherio,Azzurri Niguardese,C,5558
Giuseppetti M.,10,2,4,0,Cgb Brugherio,Azzurri Niguardese,C,5558
Varisco L.,8,2,3,0,Cgb Brugherio,Azzurri Niguardese,C,5558
Di Tullio A.,7,7,0,0,Cgb Brugherio,Azzurri Niguardese,C,5558
Sandini C.,2,2,0,0,Cgb Brugherio,Azzurri Niguardese,C,5558
Dezani A.,0,0,0,0,Cgb Brugherio,Azzurri Niguardese,C,5558
Pizzi L.,0,0,0,0,Cgb Brugherio,Azzurri Niguardese,C,5558
Marci A.,0,0,0,0,Cgb Brugherio,Azzurri Niguardese,C,5558
Marci G.,0,0,0,0,Cgb Brugherio,Azzurri Niguardese,C,5558
Schiavone R.,0,0,0,0,Cgb Brugherio,Azzurri Niguardese,C,5558
Conati /,19,4,3,3,Azzurri Niguardese,Cgb Brugherio,T,5558
Marini /,13,1,6,0,Azzurri Niguardese,Cgb Brugherio,T,5558
Mauri /,10,2,1,2,Azzurri Niguardese,Cgb Brugherio,T,5558
Morosini /,10,1,3,1,Azzurri Niguardese,Cgb Brugherio,T,5558
De Marchi /,4,2,1,0,Azzurri Niguardese,Cgb Brugherio,T,5558
Causin /,4,0,2,0,Azzurri Niguardese,Cgb Brugherio,T,5558
Tomaselli /,3,0,0,1,Azzurri Niguardese,Cgb Brugherio,T,5558
Mantovani /,2,2,0,0,Azzurri Niguardese,Cgb Brugherio,T,5558
Stilinovic /,2,0,1,0,Azzurri Niguardese,Cgb Brugherio,T,5558
Daleffe /,2,0,1,0,Azzurri Niguardese,Cgb Brugherio,T,5558
Bevivino /,0,0,0,0,Azzurri Niguardese,Cgb Brugherio,T,5558
Panfili /,0,0,0,0,Azzurri Niguardese,Cgb Brugherio,T,5558
Vailati V.,24,7,7,1,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Negretto S.,16,6,5,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Nava S.,8,4,2,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Faustini L.,6,0,3,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Fabbricotti M.,5,1,2,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Picelli P.,5,1,2,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Defendi G.,4,2,1,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Bisi A.,4,0,2,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Nava A.,3,3,0,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Prina A.,2,0,1,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Angiolini F.,0,0,0,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Buonaguidi N.,0,0,0,0,Posal Sesto San Giovanni,Aurora Trezzo,C,5559
Magoga M.,13,0,5,1,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Scotti R.,8,0,1,2,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Colombo D.,7,0,2,1,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Vergine Sam.,4,0,2,0,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Leoni L.,4,0,2,0,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Brambilla L.,3,1,1,0,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Sancini T.,3,0,0,1,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Alesso T.,3,1,1,0,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Penati A.,0,0,0,0,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Quadri T.,0,0,0,0,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Garribba S.,0,0,0,0,Aurora Trezzo,Posal Sesto San Giovanni,T,5559
Mandelli Giovanni,16,9,2,1,Acli Trecella,Pall.Carugate,C,5560
Bazzoli Riccardo,15,11,2,0,Acli Trecella,Pall.Carugate,C,5560
Bonazzoli Stefano,9,1,4,0,Acli Trecella,Pall.Carugate,C,5560
Caterina Alessandro,7,1,0,2,Acli Trecella,Pall.Carugate,C,5560
Cerea Filippo,6,0,0,2,Acli Trecella,Pall.Carugate,C,5560
Santoro Lorenzo,5,2,0,1,Acli Trecella,Pall.Carugate,C,5560
Castellani Davide,4,2,1,0,Acli Trecella,Pall.Carugate,C,5560
Sacchetti Andrea,2,2,0,0,Acli Trecella,Pall.Carugate,C,5560
Bassi Andrea,0,0,0,0,Acli Trecella,Pall.Carugate,C,5560
Pedrazzi Marco,0,0,0,0,Acli Trecella,Pall.Carugate,C,5560
Omodei Cristian,0,0,0,0,Acli Trecella,Pall.Carugate,C,5560
Battaioni A.,0,0,0,0,Acli Trecella,Pall.Carugate,C,5560
Iacopetta L.,10,0,5,0,Pall.Carugate,Acli Trecella,T,5560
Farina F.,10,2,4,0,Pall.Carugate,Acli Trecella,T,5560
Ghezzi S.,10,2,4,0,Pall.Carugate,Acli Trecella,T,5560
Bai G.,10,0,2,2,Pall.Carugate,Acli Trecella,T,5560
Ragnolini M.,9,0,0,3,Pall.Carugate,Acli Trecella,T,5560
Beltrame L.,8,4,2,0,Pall.Carugate,Acli Trecella,T,5560
Maccagni A.,5,3,1,0,Pall.Carugate,Acli Trecella,T,5560
Mainetti A.,4,2,1,0,Pall.Carugate,Acli Trecella,T,5560
Tamburrini G.,3,0,0,1,Pall.Carugate,Acli Trecella,T,5560
Spinelli M.,2,0,1,0,Pall.Carugate,Acli Trecella,T,5560
Bonfanti S.,2,0,1,0,Pall.Carugate,Acli Trecella,T,5560
Paviglianiti D.,0,0,0,0,Pall.Carugate,Acli Trecella,T,5560
Moalli D.,11,0,4,1,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Tonani S.,10,4,3,0,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Fina E.,8,0,1,2,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Barnini E.,8,0,4,0,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Passante A.,6,1,1,1,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Reda M.,6,0,3,0,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Bassi P.,6,0,3,0,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Chianura A.,4,0,2,0,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Carriero C.,4,0,2,0,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Moraja A.,2,0,1,0,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Polo L.,0,0,0,0,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Marchetti D.,0,0,0,0,Basket Ajaccio 1988,Ciesse Freebasket Milano,C,5561
Athanasopoulos Andrea,16,1,6,1,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Lo Brutto Federico,13,1,3,2,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Viganò Jacopo,10,2,4,0,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Barbesta Pietro,4,0,2,0,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Ariete Riccardo,3,0,0,1,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Ferracin Fabio,2,0,1,0,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Gaeta Marco,2,2,0,0,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Rossi Iacopo,2,0,1,0,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Angst Gabriele,2,0,1,0,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Gianelli Andrea,0,0,0,0,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Sedazzari Mattia,0,0,0,0,Ciesse Freebasket Milano,Basket Ajaccio 1988,T,5561
Sturlesi N.,14,0,4,2,Social Osa,Cesano Seveso,C,5562
Buhaj S.,11,2,3,1,Social Osa,Cesano Seveso,C,5562
Magnoni L.,9,0,3,1,Social Osa,Cesano Seveso,C,5562
Ruozzi A.,5,1,2,0,Social Osa,Cesano Seveso,C,5562
Iaretti N.,4,1,0,1,Social Osa,Cesano Seveso,C,5562
Lissi M.,3,3,0,0,Social Osa,Cesano Seveso,C,5562
Gaboli S.,2,0,1,0,Social Osa,Cesano Seveso,C,5562
Migliorata R.,2,0,1,0,Social Osa,Cesano Seveso,C,5562
Scaletti A.,1,1,0,0,Social Osa,Cesano Seveso,C,5562
Varisco M.,0,0,0,0,Social Osa,Cesano Seveso,C,5562
Carlone M.,0,0,0,0,Social Osa,Cesano Seveso,C,5562
Bega R.,0,0,0,0,Social Osa,Cesano Seveso,C,5562
Pedretti F.,11,3,4,0,Cesano Seveso,Social Osa,T,5562
Rho S.,11,3,1,2,Cesano Seveso,Social Osa,T,5562
Cesana L.,11,2,3,1,Cesano Seveso,Social Osa,T,5562
Valente F.,8,4,2,0,Cesano Seveso,Social Osa,T,5562
Montagnani G.,8,0,4,0,Cesano Seveso,Social Osa,T,5562
Cesana A.,4,0,2,0,Cesano Seveso,Social Osa,T,5562
Callegher R.,4,0,2,0,Cesano Seveso,Social Osa,T,5562
Bianchi E.,2,2,0,0,Cesano Seveso,Social Osa,T,5562
Canciani E.,1,1,0,0,Cesano Seveso,Social Osa,T,5562
Gianotti D.,0,0,0,0,Cesano Seveso,Social Osa,T,5562
Cervellera N.,0,0,0,0,Cesano Seveso,Social Osa,T,5562
Pasolini A.,0,0,0,0,Cesano Seveso,Social Osa,T,5562
Petruzzi F.,34,6,5,6,Osal Novate,Basket Ajaccio 1988,C,5563
Martinez A.,11,1,2,2,Osal Novate,Basket Ajaccio 1988,C,5563
Samaritani F.,10,1,3,1,Osal Novate,Basket Ajaccio 1988,C,5563
Di Lernia F.,4,0,2,0,Osal Novate,Basket Ajaccio 1988,C,5563
Dell'Acqua F.,3,0,0,1,Osal Novate,Basket Ajaccio 1988,C,5563
Plumari O.,2,0,1,0,Osal Novate,Basket Ajaccio 1988,C,5563
Giugliano M.,2,0,1,0,Osal Novate,Basket Ajaccio 1988,C,5563
Lizza T.,0,0,0,0,Osal Novate,Basket Ajaccio 1988,C,5563
De Vito A.,0,0,0,0,Osal Novate,Basket Ajaccio 1988,C,5563
Ossoli T,0,0,0,0,Osal Novate,Basket Ajaccio 1988,C,5563
Brambilla E.,0,0,0,0,Osal Novate,Basket Ajaccio 1988,C,5563
Vassallo M.,0,0,0,0,Osal Novate,Basket Ajaccio 1988,C,5563
Fina E.,19,9,2,2,Basket Ajaccio 1988,Osal Novate,T,5563
Mariani M.,12,4,4,0,Basket Ajaccio 1988,Osal Novate,T,5563
Passante A.,8,2,0,2,Basket Ajaccio 1988,Osal Novate,T,5563
Reda M.,7,3,2,0,Basket Ajaccio 1988,Osal Novate,T,5563
Tonani S.,7,1,3,0,Basket Ajaccio 1988,Osal Novate,T,5563
Bordoni A.,7,5,1,0,Basket Ajaccio 1988,Osal Novate,T,5563
Chianura A.,5,1,2,0,Basket Ajaccio 1988,Osal Novate,T,5563
Bassi P.,5,3,1,0,Basket Ajaccio 1988,Osal Novate,T,5563
Barnini E.,4,0,2,0,Basket Ajaccio 1988,Osal Novate,T,5563
Bernardello N.,3,1,1,0,Basket Ajaccio 1988,Osal Novate,T,5563
Carriero C.,3,1,1,0,Basket Ajaccio 1988,Osal Novate,T,5563
Moraja A.,0,0,0,0,Basket Ajaccio 1988,Osal Novate,T,5563
Scaffidi M.,21,8,5,1,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Tosetti R.,20,4,2,4,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Arienti A.,13,1,3,2,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Pandolfi A.,6,2,2,0,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Schiatti F.,4,0,2,0,Basket San Rocco 2013 Seregno,Social Osa,C,5565
De Marchi M.,4,0,2,0,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Carota A.,2,2,0,0,Basket San Rocco 2013 Seregno,Social Osa,C,5565
La Mantia L.,2,0,1,0,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Pisani D.,0,0,0,0,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Leonelli F.,0,0,0,0,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Bolis F.,0,0,0,0,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Buzzi F.,0,0,0,0,Basket San Rocco 2013 Seregno,Social Osa,C,5565
Carlone M.,15,0,3,3,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Magnoni L.,15,2,5,1,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Buhaj S.,10,2,4,0,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Rabacchin A.,7,2,1,1,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Ruozzi A.,7,1,3,0,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Varisco M.,6,2,2,0,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Di Iorio M.,4,0,2,0,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Cantarin E.,4,0,2,0,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Scaletti A.,4,0,2,0,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Gaboli S.,2,0,1,0,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Migliorata R.,0,0,0,0,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Silvestri P.,0,0,0,0,Social Osa,Basket San Rocco 2013 Seregno,T,5565
Rinaldi D.,11,3,4,0,Aurora Trezzo,Cgb Brugherio,C,5566
Magoga M.,11,0,4,1,Aurora Trezzo,Cgb Brugherio,C,5566
Vergine Sam.,8,2,3,0,Aurora Trezzo,Cgb Brugherio,C,5566
Brambilla L.,8,0,1,2,Aurora Trezzo,Cgb Brugherio,C,5566
Scotti R.,7,0,2,1,Aurora Trezzo,Cgb Brugherio,C,5566
Sancini T.,6,2,2,0,Aurora Trezzo,Cgb Brugherio,C,5566
Alesso T.,4,0,2,0,Aurora Trezzo,Cgb Brugherio,C,5566
Leoni L.,3,1,1,0,Aurora Trezzo,Cgb Brugherio,C,5566
Colombo D.,3,1,1,0,Aurora Trezzo,Cgb Brugherio,C,5566
Penati A.,0,0,0,0,Aurora Trezzo,Cgb Brugherio,C,5566
Motta G.,0,0,0,0,Aurora Trezzo,Cgb Brugherio,C,5566
Di Tullio A.,19,3,5,2,Cgb Brugherio,Aurora Trezzo,T,5566
Brioschi N.,13,2,4,1,Cgb Brugherio,Aurora Trezzo,T,5566
Giuseppetti M.,12,3,3,1,Cgb Brugherio,Aurora Trezzo,T,5566
Varisco L.,9,1,1,2,Cgb Brugherio,Aurora Trezzo,T,5566
Rusconi L.,5,1,2,0,Cgb Brugherio,Aurora Trezzo,T,5566
Marci A.,4,2,1,0,Cgb Brugherio,Aurora Trezzo,T,5566
Sandini C.,3,0,0,1,Cgb Brugherio,Aurora Trezzo,T,5566
Dezani A.,2,0,1,0,Cgb Brugherio,Aurora Trezzo,T,5566
Pizzi L.,2,0,1,0,Cgb Brugherio,Aurora Trezzo,T,5566
Marci G.,0,0,0,0,Cgb Brugherio,Aurora Trezzo,T,5566
Schiavone R.,0,0,0,0,Cgb Brugherio,Aurora Trezzo,T,5566
Macis M.,0,0,0,0,Cgb Brugherio,Aurora Trezzo,T,5566
Bazzoli Riccardo,19,5,1,4,Acli Trecella,Cbba Olimpia Cologno,T,5567
Omodei Cristian,12,5,2,1,Acli Trecella,Cbba Olimpia Cologno,T,5567
Mandelli Giovanni,11,1,5,0,Acli Trecella,Cbba Olimpia Cologno,T,5567
Sacchetti Andrea,10,4,0,2,Acli Trecella,Cbba Olimpia Cologno,T,5567
Bonazzoli Stefano,7,0,2,1,Acli Trecella,Cbba Olimpia Cologno,T,5567
Cerea Edoardo,7,1,3,0,Acli Trecella,Cbba Olimpia Cologno,T,5567
Castellani Davide,5,1,2,0,Acli Trecella,Cbba Olimpia Cologno,T,5567
Bassi Andrea,4,1,0,1,Acli Trecella,Cbba Olimpia Cologno,T,5567
Colombo Matteo,3,1,1,0,Acli Trecella,Cbba Olimpia Cologno,T,5567
Caterina Alessandro,2,0,1,0,Acli Trecella,Cbba Olimpia Cologno,T,5567
Cerea Filippo,0,0,0,0,Acli Trecella,Cbba Olimpia Cologno,T,5567
Caterina Alberto,0,0,0,0,Acli Trecella,Cbba Olimpia Cologno,T,5567
Lo Brutto Federico,16,3,5,1,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Ariete Riccardo,12,0,0,4,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Athanasopoulos Andrea,12,4,1,2,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Gaeta Marco,6,1,1,1,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Viganò Jacopo,6,0,3,0,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Rossi Iacopo,4,0,2,0,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Angst Gabriele,3,1,1,0,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Gianelli Andrea,0,0,0,0,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Marinozzi Claudio,0,0,0,0,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Sedazzari Mattia,0,0,0,0,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Viani Tommaso,0,0,0,0,Ciesse Freebasket Milano,Pall.Carugate,C,5568
Tamburrini G.,16,1,0,5,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Maccagni A.,14,10,2,0,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Beltrame L.,12,0,3,2,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Pizzul D.,11,9,1,0,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Ghezzi S.,8,0,4,0,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Bai G.,8,1,2,1,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Paviglianiti D.,5,0,1,1,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Gangi P.,4,0,2,0,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Ragnolini M.,4,2,1,0,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Farina F.,3,1,1,0,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Bonfanti S.,1,1,0,0,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Lingiardi P.,0,0,0,0,Pall.Carugate,Ciesse Freebasket Milano,T,5568
Dossi Simone,9,4,1,1,Inzago Basket,Posal Sesto San Giovanni,C,5569
Marcotti Luca,9,4,1,1,Inzago Basket,Posal Sesto San Giovanni,C,5569
Galli Marco,7,0,2,1,Inzago Basket,Posal Sesto San Giovanni,C,5569
Barazzetta Giorgio,5,1,2,0,Inzago Basket,Posal Sesto San Giovanni,C,5569
Cavalli Simone,4,0,2,0,Inzago Basket,Posal Sesto San Giovanni,C,5569
Cavina Davide,4,0,2,0,Inzago Basket,Posal Sesto San Giovanni,C,5569
Brambilla Francesco,3,1,1,0,Inzago Basket,Posal Sesto San Giovanni,C,5569
Balconi Paolo,2,0,1,0,Inzago Basket,Posal Sesto San Giovanni,C,5569
Stigliani Matteo,2,2,0,0,Inzago Basket,Posal Sesto San Giovanni,C,5569
Pirovano Matteo,0,0,0,0,Inzago Basket,Posal Sesto San Giovanni,C,5569
Vailati V.,17,2,6,1,Posal Sesto San Giovanni,Inzago Basket,T,5569
Fabbricotti M.,12,2,2,2,Posal Sesto San Giovanni,Inzago Basket,T,5569
Negretto S.,10,2,4,0,Posal Sesto San Giovanni,Inzago Basket,T,5569
Capaccioli L.,9,2,2,1,Posal Sesto San Giovanni,Inzago Basket,T,5569
Nava S.,8,2,3,0,Posal Sesto San Giovanni,Inzago Basket,T,5569
Defendi G.,4,0,2,0,Posal Sesto San Giovanni,Inzago Basket,T,5569
Buonaguidi N.,4,1,0,1,Posal Sesto San Giovanni,Inzago Basket,T,5569
Nava A.,4,0,2,0,Posal Sesto San Giovanni,Inzago Basket,T,5569
Faustini L.,3,1,1,0,Posal Sesto San Giovanni,Inzago Basket,T,5569
Angiolini F.,2,0,1,0,Posal Sesto San Giovanni,Inzago Basket,T,5569
Picelli P.,0,0,0,0,Posal Sesto San Giovanni,Inzago Basket,T,5569
Prina A.,0,0,0,0,Posal Sesto San Giovanni,Inzago Basket,T,5569
Carlone M.,16,0,5,2,Social Osa,Osal Novate,C,5570
Rabacchin A.,9,2,2,1,Social Osa,Osal Novate,C,5570
Gaboli S.,9,0,3,1,Social Osa,Osal Novate,C,5570
Varisco M.,8,2,3,0,Social Osa,Osal Novate,C,5570
Di Iorio M.,8,1,2,1,Social Osa,Osal Novate,C,5570
Punturieri O.,8,4,2,0,Social Osa,Osal Novate,C,5570
Buhaj S.,7,1,3,0,Social Osa,Osal Novate,C,5570
Sturlesi N.,5,0,1,1,Social Osa,Osal Novate,C,5570
Magnoni L.,4,2,1,0,Social Osa,Osal Novate,C,5570
Cantarin E.,4,2,1,0,Social Osa,Osal Novate,C,5570
Silvestri P.,3,0,0,1,Social Osa,Osal Novate,C,5570
Bega R.,2,0,1,0,Social Osa,Osal Novate,C,5570
Dell'Acqua F.,15,2,5,1,Osal Novate,Social Osa,T,5570
Martinez A.,12,4,1,2,Osal Novate,Social Osa,T,5570
Ossoli T,6,4,1,0,Osal Novate,Social Osa,T,5570
Brambilla E.,5,0,1,1,Osal Novate,Social Osa,T,5570
Petruzzi F.,5,0,1,1,Osal Novate,Social Osa,T,5570
Corain C.,5,3,1,0,Osal Novate,Social Osa,T,5570
De Vito A.,3,1,1,0,Osal Novate,Social Osa,T,5570
Samaritani F.,3,0,0,1,Osal Novate,Social Osa,T,5570
Di Lernia F.,2,0,1,0,Osal Novate,Social Osa,T,5570
Lizza T.,0,0,0,0,Osal Novate,Social Osa,T,5570
Giugliano M.,0,0,0,0,Osal Novate,Social Osa,T,5570
Brandinali M.,0,0,0,0,Osal Novate,Social Osa,T,5570
Negretto S.,20,0,10,0,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Capaccioli L.,18,1,4,3,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Fabbricotti M.,11,1,2,2,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Vailati V.,10,2,4,0,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Angiolini F.,8,2,3,0,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Nava S.,6,0,0,2,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Faustini L.,3,0,0,1,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Buonaguidi N.,3,0,0,1,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Picelli P.,2,0,1,0,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Nava A.,0,0,0,0,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Prina A.,0,0,0,0,Posal Sesto San Giovanni,Basket San Rocco 2013 Seregno,C,5571
Schiatti F.,16,4,3,2,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Donghi M.,16,2,7,0,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Scaffidi M.,11,2,0,3,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Arienti A.,11,0,4,1,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Carota A.,7,1,3,0,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Pandolfi A.,4,0,2,0,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Tosetti R.,2,2,0,0,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Leonelli F.,2,0,1,0,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
La Mantia L.,0,0,0,0,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Currà A.,0,0,0,0,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Ceccacci M.,0,0,0,0,Basket San Rocco 2013 Seregno,Posal Sesto San Giovanni,T,5571
Digrandi S.,8,1,2,1,Ado San Benedetto Milano,Acli Trecella,C,5572
Pasquali A.,6,2,2,0,Ado San Benedetto Milano,Acli Trecella,C,5572
Perricone A.,6,1,1,1,Ado San Benedetto Milano,Acli Trecella,C,5572
Cruickshank E.H.,6,0,3,0,Ado San Benedetto Milano,Acli Trecella,C,5572
Anzalone F.,5,2,0,1,Ado San Benedetto Milano,Acli Trecella,C,5572
Giglio A.,5,3,1,0,Ado San Benedetto Milano,Acli Trecella,C,5572
Rossi A.,5,3,1,0,Ado San Benedetto Milano,Acli Trecella,C,5572
Chini E.,3,1,1,0,Ado San Benedetto Milano,Acli Trecella,C,5572
Gallo Perozzi N.,3,1,1,0,Ado San Benedetto Milano,Acli Trecella,C,5572
Testini E.,2,2,0,0,Ado San Benedetto Milano,Acli Trecella,C,5572
Ricciardi A.,2,0,1,0,Ado San Benedetto Milano,Acli Trecella,C,5572
Pupella P.,0,0,0,0,Ado San Benedetto Milano,Acli Trecella,C,5572
Sacchetti Andrea,22,5,4,3,Acli Trecella,Ado San Benedetto Milano,T,5572
Mandelli Giovanni,9,6,0,1,Acli Trecella,Ado San Benedetto Milano,T,5572
Omodei Cristian,9,7,1,0,Acli Trecella,Ado San Benedetto Milano,T,5572
Cerea Edoardo,7,1,3,0,Acli Trecella,Ado San Benedetto Milano,T,5572
Cerea Filippo,4,2,1,0,Acli Trecella,Ado San Benedetto Milano,T,5572
Bonazzoli Stefano,3,1,1,0,Acli Trecella,Ado San Benedetto Milano,T,5572
Caterina Alberto,3,1,1,0,Acli Trecella,Ado San Benedetto Milano,T,5572
Castellani Davide,2,0,1,0,Acli Trecella,Ado San Benedetto Milano,T,5572
Colombo Matteo,2,2,0,0,Acli Trecella,Ado San Benedetto Milano,T,5572
